FILE	ST	CC	serotype
ERR129162.fa	1797	-	9N
ERR124226.fa	405	-	9N
ERR129102.fa	3288	-	NT
ERR068009.fa	1905	-	NT
ERR069748.fa	180	-	3
ERR069750.fa	180	-	3
ERR069832.fa	180	-	3
ERR129180.fa	180	-	3
ERR129212.fa	180	-	3
ERR067983.fa	180	-	3
ERR067989.fa	180	-	3
ERR068006.fa	180	-	3
ERR069689.fa	180	-	3
ERR069701.fa	180	-	3
ERR069716.fa	180	-	3
6259_5#1	6687	-	NT
6259_5#2	4409	-	NT
6259_5#3	4133	-	NT
6259_5#4	1263	-	10A
6259_5#5	DLV4133	-	NT
6259_5#6	2758	-	7B
6259_5#7	2758	-	7B
6259_5#8	4129	-	NT
6259_5#9	4130	-	NT
6259_5#10	5096	-	33C
6259_5#12	4132	-	NT
6259_5#13	315	-	6B
6259_5#14	6040	-	39
6259_5#15	DLV6704	-	6B
6259_5#16	4409	-	NT
6259_5#17	DLV7747	-	48
6259_5#18	SLV5477	-	6A
6259_5#19	5036	-	19B
6259_5#20	4133	-	NT
6259_5#21	4406	-	35F
6259_5#22	incomplete	-	NT
6259_5#23	DLV4935	-	35F
6259_5#24	4136	-	NT
6259_6#1	4138	-	NT
6259_6#2	2355	-	17F
6259_6#3	3545	-	7F
6259_6#4	4420	-	6C
6259_6#5	DLV7747	-	48
6259_6#6	338	-	23A
6259_6#7	4420	-	6C
6259_6#8	4403	-	6A
6259_6#9	448	-	NT
6259_6#10	SLV6694	-	NT
6259_6#11	4130	-	NT
6259_6#12	4130	-	NT
6259_6#13	5096	-	33C
6259_6#14	4406	-	35F
6259_6#15	5095	-	19B
6259_6#16	4409	-	NT
6259_6#17	6709	-	22F
6259_6#18	230	-	19A
6259_6#19	6698	-	13
6259_6#20	230	-	19A
6259_6#21	982	-	6A
6259_6#22	unknown	-	NT
6259_6#23	2218	-	23A
6259_6#24	2218	-	23A
6259_7#1	4136	-	NT
6259_7#2	SLV4420	-	6C
6259_7#3	4396	-	NT
6259_7#4	5477	-	6A
6259_7#5	5092	-	32A
6259_7#6	6692	-	33D
6259_7#7	448	-	NT
6259_7#8	448	-	NT
6259_7#9	6706	-	24F
6259_7#10	4209	-	15B
6259_7#11	4136	-	NT
6259_7#12	99	-	11A
6259_7#13	99	-	11A
6259_7#14	2355	-	17F
6259_7#15	unknown	-	34
6259_7#16	DLV4133	-	NT
6259_7#17	4395	-	14
6259_7#18	4451	-	NT
6259_7#19	7596	-	NT
6259_7#20	6707	-	23B
6259_7#21	6707	-	23B
6259_7#22	SLV4420	-	6C
6259_7#23	6697	-	NT
6259_7#24	4133	-	NT
6259_8#1	6698	-	13
6259_8#2	1583	-	19F
6259_8#3	99	-	11A
6259_8#4	802	-	23F
6259_8#5	4395	-	14
6259_8#6	6690	-	19B
6259_8#7	4395	-	14
6259_8#8	DLV8406	-	19B
6259_8#9	4130	-	NT
6259_8#10	3735	-	10B
6259_8#11	3735	-	10B
6259_8#12	99	-	11A
6259_8#13	5093	-	NT
6259_8#14	217	-	1
6259_8#15	4412	-	35F
6259_8#16	4414	-	19F
6259_8#17	4133	-	NT
6259_8#18	incomplete	-	NT
6259_8#19	4654	-	8
6259_8#20	4447	-	NT
6259_8#21	2355	-	17F
6259_8#22	63	-	14
6259_8#23	4414	-	19F
6259_8#24	6149	-	16F
6593_4#1	3735	-	10B
6593_4#2	6688	-	4
6593_4#3	4409	-	NT
6593_4#4	4393	-	NT
6593_4#5	6708	-	24A
6593_4#6	7596	-	NT
6593_4#7	4414	-	19F
6593_4#8	4391	-	NT
6593_4#9	230	-	19A
6593_4#10	4418	-	35F
6593_4#11	4418	-	35F
6593_4#12	6709	-	22F
6593_4#13	5120	-	4
6593_4#14	6689	-	21
6593_4#15	5099	-	4
6593_4#16	6692	-	33B
6593_4#17	2218	-	23A
6593_4#18	230	-	19A
6593_4#19	4406	-	35F
6593_4#20	4398	-	NT
6593_4#21	1504	-	2
6593_4#22	6692	-	33D
6593_4#23	6709	-	22F
6593_4#24	4209	-	15B
6593_5#1	4134	-	NT
6593_5#2	81	-	19F
6593_5#3	4399	-	28F
6593_5#4	4136	-	NT
6593_5#5	DLV6694	-	NT
6593_5#6	4396	-	NT
6593_5#7	4209	-	15B
6593_5#8	78	-	3
6593_5#9	6693	-	20
6593_5#10	4134	-	NT
6593_5#11	236	-	19F
6593_5#12	4135	-	NT
6593_5#13	4404	-	6B
6593_5#14	4395	-	14
6593_5#15	4395	-	14
6593_5#16	4137	-	NT
6593_5#17	338	-	23A
6593_5#18	802	-	23F
6593_5#19	4399	-	28F
6593_5#20	4399	-	28F
6593_5#21	5092	-	32A
6593_5#22	6690	-	19B
6593_5#23	5107	-	NT
6593_5#24	4399	-	28F
6630_1#1	4418	-	35F
6630_1#2	4133	-	NT
6630_1#3	2218	-	23F
6630_1#4	4421	-	NT
6630_1#5	5099	-	4
6630_1#6	63	-	14
6630_1#7	99	-	11A
6630_1#8	99	-	11A
6630_1#9	4422	-	6B
6630_1#10	4422	-	6B
6630_1#11	338	-	23A
6630_1#12	4389	-	3
6630_1#13	6694	-	NT
6630_1#14	4448	-	NT
6630_1#15	315	-	6B
6630_1#16	63	-	14
6630_1#17	230	-	19A
6630_1#18	5094	-	5
6630_1#19	4391	-	NT
6630_1#20	4391	-	NT
6630_1#21	5095	-	19B
6630_1#23	5096	-	33C
6630_1#24	230	-	NT19A_intact)
6630_2#1	6710	-	16F
6630_2#2	315	-	6B
6630_2#3	910	-	22A
6630_2#4	DLV5079	-	40
6630_2#5	4389	-	3
6630_2#6	4389	-	3
6630_2#7	4395	-	14
6630_2#8	99	-	11A
6630_2#9	99	-	11A
6630_2#10	6692	-	33B
6630_2#11	5094	-	5
6630_2#12	315	-	6B
6630_2#13	448	-	NT
6630_2#14	6692	-	33D
6630_2#15	2624	-	23F
6630_2#16	4391	-	NT
6630_2#17	63	-	14
6630_2#18	4445	-	NT
6630_2#19	3545	-	7F
6630_2#20	4136	-	NT
6630_2#21	4965	-	15A
6630_2#22	SLV3735	-	10B
6630_2#23	SLV3735	-	10B
6630_2#24	5120	-	4
6630_3#1	4422	-	6B
6630_3#2	4422	-	6B
6630_3#3	4414	-	19F
6630_3#4	4389	-	3
6630_3#5	4209	-	15B
6630_3#6	236	-	19F
6630_3#7	315	-	6B
6630_3#8	315	-	6B
6630_3#9	315	-	6B
6630_3#10	5095	-	19B
6630_3#11	SLV172	-	23F
6630_3#12	4391	-	NT
6630_3#13	4965	-	15A
6630_3#14	180	-	3
6630_3#15	4418	-	35F
6630_3#16	4389	-	3
6630_3#17	4133	-	NT
6630_3#18	4413	-	23F
6630_3#19	99	-	11A
6630_3#20	4420	-	6C
6630_3#21	DLV8406	-	19B
6630_3#22	4414	-	19F
6630_3#23	4133	-	NT
6630_3#24	SLV315	-	6A
6630_4#1	6149	-	16F
6630_4#2	4936	-	6A
6630_4#3	6692	-	33B
6630_4#4	2752	-	35C
6630_4#5	4133	-	NT
6630_4#6	447	-	37
6630_4#7	4411	-	NT
6630_4#8	6711	-	35F
6630_4#9	6703	-	6B
6630_4#10	3735	-	10B
6630_4#11	5099	-	4
6630_4#12	2624	-	23F
6630_4#13	448	-	NT
6630_4#14	4414	-	19F
6630_4#15	1439	-	34
6630_4#16	DLV1961	-	15B
6630_4#17	1439	-	34
6630_4#18	63	-	14
6630_4#19	4136	-	NT
6630_4#20	4136	-	NT
6630_4#21	5120	-	4
6630_4#22	4209	-	15B
6630_4#23	4133	-	NT
6630_4#24	63	-	14
6631_1#1	989	-	46
6631_1#2	4396	-	NT
6631_1#3	315	-	6A
6631_1#4	4404	-	6B
6631_1#5	4965	-	15A
6631_1#6	4138	-	NT
6631_1#7	63	-	14
6631_1#8	338	-	23A
6631_1#9	802	-	23F
6631_1#11	4395	-	14
6631_1#12	4395	-	14
6631_1#13	910	-	22A
6631_1#14	4965	-	15A
6631_1#15	5096	-	33C
6631_1#16	5107	-	NT
6631_1#17	1439	-	34
6631_1#18	5092	-	32F
6631_1#19	156	-	9V
6631_1#20	6692	-	33D
6631_1#21	4142	-	NT
6631_1#22	4136	-	NT
6631_1#23	6703	-	6B
6631_1#24	5101	-	NT
6631_2#1	6149	-	16F
6631_2#2	180	-	3
6631_2#3	217	-	1
6631_2#4	4412	-	35F
6631_2#5	447	-	37
6631_2#6	5120	-	4
6631_2#7	4422	-	6B
6631_2#8	448	-	NT
6631_2#9	4402	-	NT
6631_2#10	63	-	NT
6631_2#11	4130	-	NT
6631_2#12	4965	-	NT
6631_2#13	870	-	35F
6631_2#14	63	-	NT
6631_2#15	63	-	3
6631_2#16	4413	-	35C
6631_2#17	1439	-	34
6631_2#18	1439	-	3
6631_2#19	63	-	14
6631_2#20	4654	-	8
6631_2#21	SLV1439	-	35F
6631_2#22	448	-	NT
6631_2#23	338	-	23A
6631_2#24	63	-	14
6631_3#1	4404	-	6B
6631_3#2	802	-	23F
6631_3#3	241	-	18A
6631_3#4	DLV8406	-	19B
6631_3#5	63	-	14
6631_3#6	DLV4393	-	NT
6631_3#7	DLV3735	-	10B
6631_3#8	5092	-	32F
6631_3#9	6695	-	NT
6631_3#10	4407	-	6B
6631_3#11	4421	-	NT
6631_3#12	5101	-	NT
6631_3#13	802	-	23F
6631_3#14	5092	-	32A
6631_3#15	802	-	23F
6631_3#16	4451	-	NT
6631_3#17	4209	-	15B
6631_3#18	4136	-	NT
6631_3#19	3545	-	7F
6631_3#20	4113	-	10A
6631_3#21	SLV3735	-	10F
6631_3#22	4133	-	NT
6631_3#23	5095	-	19B
6631_3#24	5098	-	17F
6631_4#1	315	-	6A
6631_4#2	5122	-	NT
6631_4#3	4395	-	14
6631_4#4	SLV172	-	23A
6631_4#5	4130	-	NT
6631_4#6	81	-	19F
6631_4#7	458	-	3
6631_4#8	3545	-	7F
6631_4#9	4392	-	NT
6631_4#10	DLV6149	-	16F
6631_4#11	280	-	9V
6631_4#12	315	-	6B
6631_4#13	3735	-	10B
6631_4#14	4395	-	14
6631_4#15	2218	-	23F
6631_4#16	SLV5115	-	13
6631_4#17	1439	-	34
6631_4#18	4209	-	15B
6631_4#19	4409	-	NT
6631_4#20	6693	-	20
6631_4#21	99	-	11A
6631_4#22	4391	-	NT
6631_4#23	6707	-	23B
6631_4#24	DLV7578	-	35C
6631_5#1	4422	-	6B
6631_5#2	SLV4391	-	NT
6631_5#3	4395	-	14
6631_5#4	5095	-	19B
6631_5#5	63	-	14
6631_5#6	5094	-	5
6631_5#7	5094	-	5
6631_5#8	6692	-	33B
6631_5#9	4402	-	28F
6631_5#10	63	-	14
6631_5#11	SLV5103	-	21
6631_5#12	4965	-	15A
6631_5#13	870	-	18C
6631_5#14	63	-	14
6631_5#15	63	-	14
6631_5#16	4413	-	23F
6631_5#17	447	-	37
6631_5#18	1439	-	34
6631_5#19	99	-	11A
6631_5#20	448	-	NT
6631_5#21	81	-	19F
6631_5#22	63	-	14
6631_5#23	315	-	6B
6631_5#24	4411	-	NT
6631_6#1	63	-	14
6631_6#2	63	-	14
6631_6#3	280	-	9V
6631_6#4	4414	-	19F
6631_6#5	4134	-	NT
6631_6#6	63	-	14
6631_6#7	4136	-	NT
6631_6#8	99	-	11A
6631_6#9	4403	-	6A
6631_6#10	5094	-	5
6631_6#11	5120	-	4
6631_6#12	4413	-	23F
6631_6#13	4395	-	14
6631_6#14	236	-	19F
6631_6#15	1701	-	19A
6631_6#16	802	-	23F
6631_6#17	315	-	6B
6631_6#18	4389	-	3
6631_6#19	241	-	18A
6631_6#20	5092	-	32A
6631_6#21	4395	-	14
6631_6#22	6693	-	20
6631_6#23	SLV315	-	6A
6631_6#24	4407	-	6B
6631_7#1	4407	-	6B
6631_7#2	SLV5115	-	13
6631_7#3	1439	-	34
6631_7#4	4413	-	23F
6631_7#5	2752	-	35C
6631_7#6	5101	-	NT
6631_7#7	802	-	23F
6631_7#8	217	-	1
6631_7#9	5092	-	32F
6631_7#10	4451	-	NT
6631_7#11	6693	-	20
6631_7#12	2624	-	23F
6631_7#13	81	-	19F
6631_7#14	4395	-	14
6631_7#15	3735	-	10B
6631_7#16	DLV4589	-	NT
6631_7#17	156	-	9V
6631_7#18	DLV7747	-	48
6631_7#19	802	-	23F
6631_7#20	6690	-	19B
6631_7#21	338	-	23A
6631_7#22	SLV6711	-	35C
6631_7#23	3545	-	7F
6631_7#24	DLV1299	-	28F
6641_6#1	5092	-	32A
6641_6#2	4402	-	28F
6641_6#3	63	-	14
6641_6#4	4449	-	NT
6641_6#5	6692	-	33B
6641_6#6	6691	-	NT
6641_6#7	802	-	23F
6641_6#8	5101	-	NT
6641_6#9	802	-	23F
6641_6#10	5093	-	NT
6641_6#11	989	-	46
6641_6#12	4412	-	35F
6641_6#13	6692	-	33B
6641_6#14	6687	-	NT
6641_6#15	5093	-	NT
6641_6#16	3735	-	10B
6641_6#17	4130	-	NT
6641_6#18	4406	-	35F
6641_6#19	4414	-	19F
6641_6#20	5120	-	4
6641_6#21	3735	-	10B
6641_6#22	4209	-	15B
6641_6#23	4406	-	35F
6641_6#24	315	-	6B
6649_8#1	4421	-	NT
6649_8#2	802	-	23F
6649_8#3	SLV1778	-	34
6649_8#4	2355	-	17F
6649_8#5	99	-	11A
6649_8#6	458	-	3
6649_8#7	DLV4133	-	NT
6649_8#8	63	-	14
6649_8#9	4409	-	NT
6649_8#10	4422	-	6B
6649_8#11	4393	-	NT
6649_8#12	DLV5079	-	40
6649_8#13	3735	-	10B
6649_8#14	448	-	NT
6649_8#15	99	-	11A
6649_8#16	4391	-	NT
6649_8#17	4391	-	NT
6649_8#18	3784	-	4
6649_8#19	230	-	19A
6649_8#20	910	-	22A
6649_8#21	4133	-	NT
6649_8#22	982	-	6C
6649_8#23	4398	-	NT
6649_8#24	2218	-	23A
6664_1#1	6693	-	20
6664_1#2	SLV4138	-	NT
6664_1#3	4138	-	NT
6664_1#4	448	-	NT
6664_1#5	448	-	NT
6664_1#6	4389	-	3
6664_1#7	4395	-	14
6664_1#8	4404	-	6B
6664_1#9	4420	-	6C
6664_1#10	338	-	23A
6664_1#11	5092	-	32A
6664_1#12	63	-	14
6664_1#13	4422	-	6B
6664_1#14	4453	-	NT
6664_1#15	802	-	23F
6664_1#16	4142	-	NT
6664_1#17	1701	-	19A
6664_1#18	280	-	9V
6664_1#19	236	-	19F
6664_1#20	6693	-	20
6664_1#21	4136	-	NT
6664_1#22	156	-	9V
6664_1#23	6692	-	33B
6664_1#24	5092	-	32A
6680_4#1	4414	-	19F
6680_4#2	4133	-	NT
6680_4#3	81	-	19F
6680_4#4	4133	-	NT
6680_4#5	4414	-	19F
6680_4#6	5477	-	6A
6680_4#7	SLV4136	-	NT
6680_4#8	6689	-	21
6680_4#9	802	-	23F
6680_4#10	5095	-	19B
6680_4#11	unknown	-	NT
6680_4#12	1439	-	34
6680_4#13	2218	-	23F
6680_4#14	SLV4138	-	NT
6680_4#15	4136	-	NT
6680_4#16	4133	-	NT
6680_4#17	4418	-	35F
6680_4#18	DLV4138	-	NT
6680_4#19	5116	-	6B
6680_4#20	4136	-	NT
6680_4#21	4414	-	19F
6680_4#22	4414	-	19F
6680_4#23	4414	-	19F
6680_4#24	4414	-	19F
6680_5#1	448	-	NT
6680_5#2	4398	-	NT
6680_5#3	870	-	18C
6680_5#4	4398	-	NT
6680_5#5	901	-	13
6680_5#6	4451	-	NT
6680_5#7	4414	-	19F
6680_5#8	1701	-	19A
6680_5#9	SLV4142	-	NT
6680_5#10	4936	-	6A
6680_5#11	236	-	19F
6680_5#12	unknown	-	NT
6680_5#13	236	-	19F
6680_5#14	4209	-	15B
6680_5#15	4414	-	19F
6680_5#16	5123	-	33F
6680_5#17	4414	-	19F
6680_5#18	4414	-	19F
6680_5#19	4413	-	23F
6680_5#20	6710	-	16F
6680_5#21	SLV5477	-	6A
6680_5#22	4414	-	19F
6680_5#23	802	-	23F
6680_5#24	1583	-	19F
6680_6#2	SLV5477	-	6A
6680_6#3	802	-	23F
6680_6#4	4412	-	35F
6680_6#5	802	-	23F
6680_6#6	4390	-	NT
6680_6#7	448	-	NT
6680_6#8	236	-	19F
6680_6#9	5116	-	6B
6680_6#10	incomplete	-	NT
6680_6#11	4390	-	NT
6680_6#12	5105	-	6B
6680_6#13	4414	-	19F
6680_6#14	5124	-	6C
6680_6#15	4936	-	6A
6680_6#16	448	-	NT
6680_6#17	4414	-	19F
6680_6#18	5106	-	19F
6680_6#19	4654	-	8
6680_6#20	802	-	23F
6680_6#21	SLV4398	-	NT
6680_6#22	802	-	23F
6680_6#23	6690	-	19B
6680_6#24	4413	-	23F
6680_7#1	4414	-	19F
6680_7#2	SLV4136	-	NT
6680_7#3	2624	-	23F
6680_7#4	5107	-	NT
6680_7#5	4420	-	6C
6680_7#6	4133	-	NT
6680_7#7	4413	-	23F
6680_7#9	4414	-	19F
6680_7#10	4136	-	NT
6680_7#11	3058	-	15A
6680_7#12	unknown	-	NT
6680_7#13	SLV4935	-	35B
6680_7#14	4136	-	NT
6680_7#15	SLV4136	-	NT
6680_7#16	280	-	9V
6680_7#17	4414	-	19F
6680_7#18	4414	-	19F
6680_7#19	2624	-	23F
6680_7#20	5096	-	33C
6680_7#21	315	-	6B
6680_7#22	4414	-	19F
6680_7#23	6717	-	18F
6680_7#24	236	-	19F
6680_8#1	4413	-	23F
6680_8#2	4414	-	19F
6680_8#3	447	-	37
6680_8#4	4389	-	3
6680_8#5	6689	-	21
6680_8#6	338	-	23A
6680_8#7	99	-	11A
6680_8#8	99	-	11A
6680_8#9	5092	-	32A
6680_8#10	4445	-	NT
6680_8#11	230	-	19A
6680_8#12	4134	-	NT
6680_8#13	63	-	14
6680_8#14	989	-	46
6680_8#15	4389	-	3
6680_8#16	3545	-	7F
6680_8#17	4136	-	NT
6680_8#18	2624	-	23F
6680_8#19	4209	-	15B
6680_8#20	4403	-	6A
6680_8#21	4139	-	NT
6680_8#22	6710	-	16F
6680_8#23	4402	-	28F
6680_8#24	4402	-	28F
6730_1#2	4133	-	NT
6730_1#3	63	-	14
6730_1#4	870	-	18C
6730_1#5	870	-	18C
6730_1#6	4414	-	19F
6730_1#7	4966	-	6A
6730_1#8	447	-	37
6730_1#9	4411	-	NT
6730_1#10	4391	-	NT
6730_1#11	6713	-	NT
6730_1#12	4136	-	NT
6730_1#13	4399	-	28F
6730_1#14	338	-	23A
6730_1#15	802	-	23F
6730_1#16	4422	-	6B
6730_1#17	4413	-	23F
6730_1#18	448	-	NT
6730_1#19	4136	-	NT
6730_1#20	6692	-	33B
6730_1#21	DLV4138	-	NT
6730_1#22	4654	-	8
6730_1#23	6692	-	33B
6730_1#24	4396	-	NT
6730_3#1	4414	-	19F
6730_3#2	4453	-	NT
6730_3#3	802	-	23F
6730_3#4	4413	-	23F
6730_3#5	5097	-	45
6730_3#6	4421	-	NT
6730_3#7	315	-	6B
6730_3#8	4142	-	NT
6730_3#9	4451	-	NT
6730_3#10	1439	-	34
6730_3#11	4413	-	23F
6730_3#12	4136	-	NT
6730_3#13	4407	-	6B
6730_3#14	SLV5115	-	13
6730_3#15	156	-	9V
6730_3#16	156	-	9V
6730_3#17	4209	-	15C
6730_3#18	802	-	23F
6730_3#19	338	-	23A
6730_3#20	802	-	23F
6730_3#21	315	-	6B
6730_3#22	4395	-	14
6730_3#23	802	-	23F
6730_3#24	4136	-	NT
6730_5#1	4209	-	15C
6730_5#2	4389	-	3
6730_5#3	4401	-	6A
6730_5#4	4394	-	NT
6730_5#5	870	-	18C
6730_5#6	870	-	18C
6730_5#7	982	-	6C
6730_5#8	DLV7578	-	35C
6730_5#9	315	-	6B
6730_5#10	5099	-	4
6730_5#11	5099	-	4
6730_5#12	2218	-	23F
6730_5#13	4448	-	NT
6730_5#14	6696	-	24F
6730_5#15	802	-	23F
6730_5#16	4209	-	15B
6730_5#17	4414	-	19F
6730_5#18	4414	-	19F
6730_5#19	4413	-	23F
6730_5#20	870	-	18C
6730_5#21	DLV3789	-	18A
6730_5#22	910	-	22A
6730_5#23	4398	-	NT
6730_5#24	2624	-	23F
6730_6#1	4414	-	19F
6730_6#2	217	-	1
6730_6#3	4133	-	NT
6730_6#4	447	-	37
6730_6#5	63	-	14
6730_6#6	4411	-	NT
6730_6#7	4413	-	23F
6730_6#8	802	-	23F
6730_6#9	1439	-	34
6730_6#10	2572	-	23A
6730_6#11	4414	-	19F
6730_6#12	63	-	14
6730_6#13	5092	-	32A
6730_6#14	5115	-	13
6730_6#15	4136	-	NT
6730_6#16	incomplete	-	NT
6730_6#17	incomplete	-	NT
6730_6#18	SLV5103	-	21
6730_6#19	4396	-	NT
6730_6#20	4403	-	6A
6730_6#21	SLV1894	-	31
6730_6#22	DLV4393	-	NT
6730_6#23	4133	-	NT
6730_6#24	4451	-	NT
6730_7#1	3735	-	10B
6730_7#2	1439	-	34
6730_7#3	4413	-	23F
6730_7#4	4444	-	NT
6730_7#5	4450	-	35C
6730_7#6	5098	-	17F
6730_7#7	unknown	-	NT
6730_7#8	4414	-	19F
6730_7#9	4414	-	19F
6730_7#10	6692	-	33B
6730_7#11	1439	-	34
6730_7#12	7649	-	35C
6730_7#13	DLV4138	-	NT
6730_7#14	802	-	23F
6730_7#15	230	-	19A
6730_7#16	5101	-	NT
6730_7#17	5126	-	NT
6730_7#18	4414	-	19F
6730_7#19	5093	-	NT
6730_7#20	4402	-	28F
6730_7#21	4413	-	23F
6730_7#22	5092	-	32F
6730_7#23	5095	-	19B
6730_7#24	910	-	22A
6730_8#1	5102	-	NT
6730_8#2	6717	-	18F
6730_8#3	5103	-	21
6730_8#4	6717	-	18C
6730_8#5	6706	-	24F
6730_8#6	4420	-	6C
6730_8#7	6710	-	16F
6730_8#8	4113	-	10A
6730_8#9	4395	-	14
6730_8#10	7649	-	35C
6730_8#11	4414	-	19F
6730_8#12	315	-	6B
6730_8#13	802	-	23F
6730_8#14	4936	-	6A
6730_8#15	81	-	19F
6730_8#16	2218	-	23F
6730_8#17	incomplete	-	NT
6730_8#18	4390	-	NT
6730_8#19	4414	-	19F
6730_8#20	4395	-	14
6730_8#21	4955	-	34
6730_8#22	1961	-	15B
6730_8#23	4414	-	19F
6730_8#24	6710	-	16F
6731_1#1	4414	-	19F
6731_1#2	4414	-	19F
6731_1#3	4965	-	15A
6731_1#4	4413	-	23F
6731_1#5	3058	-	17F
6731_1#6	5116	-	6B
6731_1#7	4403	-	6A
6731_1#8	4414	-	19F
6731_1#9	242	-	23F
6731_1#10	4136	-	NT
6731_1#11	4451	-	NT
6731_1#12	4390	-	NT
6731_1#14	315	-	6B
6731_1#15	5114	-	19F
6731_1#17	SLV172	-	23A
6731_1#18	3545	-	7F
6731_1#19	3545	-	7F
6731_1#20	5098	-	17F
6731_1#22	4404	-	6B
6731_1#23	236	-	19F
6731_1#24	6693	-	20
6731_3#1	5106	-	19F
6731_3#2	5103	-	21
6731_3#3	4414	-	19F
6731_3#4	4420	-	6C
6731_3#5	802	-	23F
6731_3#6	4414	-	19F
6731_3#7	4414	-	19F
6731_3#8	910	-	22A
6731_3#9	6702	-	NT
6731_3#10	6707	-	23B
6731_3#11	4413	-	23F
6731_3#12	4413	-	23F
6731_3#13	DLV2991	-	35F
6731_3#14	4414	-	19F
6731_3#15	SLV352	-	25F
6731_3#16	1439	-	34
6731_3#17	910	-	22A
6731_3#18	4420	-	6C
6731_3#19	4414	-	19F
6731_3#20	910	-	22A
6731_3#21	SLV3735	-	10F
6731_3#22	315	-	6B
6731_3#23	6709	-	22F
6731_3#24	4414	-	19F
6731_4#1	3545	-	7F
6731_4#2	315	-	6B
6731_4#3	180	-	3
6731_4#4	236	-	19F
6731_4#5	4414	-	19F
6731_4#6	4420	-	6C
6731_4#7	5477	-	6A
6731_4#8	236	-	19F
6731_4#9	81	-	19F
6731_4#10	5096	-	33C
6731_4#11	4413	-	23F
6731_4#12	99	-	11A
6731_4#13	5873	-	9N
6731_4#14	99	-	11A
6731_4#15	4136	-	NT
6731_4#16	4413	-	23F
6731_4#17	5092	-	32A
6731_4#18	5114	-	19F
6731_4#19	4413	-	23F
6731_4#20	802	-	23F
6731_4#21	4451	-	NT
6731_4#22	81	-	19F
6731_4#23	SLV4136	-	NT
6731_4#24	236	-	19F
6731_5#1	4422	-	6B
6731_5#2	6710	-	16F
6731_5#3	4414	-	19F
6731_5#4	4130	-	NT
6731_5#5	4209	-	15B
6731_5#6	4420	-	6C
6731_5#7	802	-	23F
6731_5#8	1961	-	15B
6731_5#9	4414	-	19F
6731_5#10	SLV4935	-	35C
6731_5#11	6710	-	16F
6731_5#12	SLV5115	-	13
6731_5#13	6690	-	19B
6731_5#14	6704	-	6B
6731_5#15	SLV4414	-	19F
6731_5#16	SLV5079	-	40
6731_5#17	230	-	7B
6731_5#18	802	-	23F
6731_5#19	3545	-	7F
6731_5#20	989	-	46
6731_5#21	4414	-	19F
6731_5#22	6692	-	33B
6731_5#23	4936	-	6A
6731_5#24	4133	-	NT
6731_6#1	4422	-	6B
6731_6#2	63	-	14
6731_6#3	802	-	23F
6731_6#4	6709	-	22F
6731_6#5	4209	-	15C
6731_6#6	1684	-	31
6731_6#7	4136	-	NT
6731_6#8	4209	-	15B
6731_6#9	4965	-	15A
6731_6#10	SLV4136	-	NT
6731_6#11	870	-	18C
6731_6#12	1701	-	19A
6731_6#13	802	-	23F
6731_6#14	99	-	11A
6731_6#15	4445	-	NT
6731_6#16	315	-	6B
6731_6#17	SLV6692	-	6B
6731_6#18	SLV6692	-	6B
6731_6#19	236	-	19F
6731_6#20	99	-	11A
6731_6#21	802	-	23F
6731_6#22	5092	-	32F
6731_6#23	4209	-	15C
6731_6#24	5095	-	19B
6673_8#1	4402	-	28F
6673_8#2	SLV4389	-	NT
6673_8#3	989	-	46
6673_8#4	802	-	23F
6673_8#5	5096	-	33C
6673_8#6	802	-	23F
6673_8#7	5120	-	4
6673_8#8	5101	-	NT
6673_8#9	99	-	11A
6673_8#10	4113	-	10A
6673_8#11	4412	-	35F
6673_8#12	1439	-	34
6673_8#13	802	-	23F
6673_8#14	4389	-	3
6673_8#15	6692	-	33B
6673_8#16	4395	-	14
6673_8#17	4451	-	NT
6673_8#18	SLV1778	-	34
6673_8#19	4414	-	19F
6673_8#20	4414	-	19F
6673_8#21	4136	-	NT
6673_8#22	4406	-	35F
6673_8#23	DLV6149	-	16F
6673_8#24	5093	-	NT
6714_7#1	315	-	6B
6714_7#2	4422	-	6B
6714_7#3	4391	-	NT
6714_7#4	315	-	6B
6714_7#5	910	-	22A
6714_7#6	SLV4133	-	NT
6714_7#7	5094	-	5
6714_7#8	4209	-	15B
6714_7#9	236	-	19F
6714_7#10	SLV4136	-	NT
6714_7#11	4413	-	23F
6714_7#12	4136	-	NT
6714_7#13	4414	-	19F
6714_7#14	63	-	14
6714_7#15	870	-	18C
6714_7#16	4414	-	19F
6714_7#17	6696	-	24F
6714_7#18	448	-	NT
6714_7#19	SLV1433	-	NT
6714_7#20	217	-	1
6714_7#21	4136	-	NT
6714_7#23	99	-	11A
6714_7#24	4965	-	15A
6714_8#1	99	-	11A
6714_8#2	99	-	11A
6714_8#3	SLV4136	-	NT
6714_8#4	SLV4136	-	NT
6714_8#5	4113	-	10A
6714_8#6	SLV5103	-	21
6714_8#7	4133	-	NT
6714_8#8	4406	-	35F
6714_8#9	5095	-	19B
6714_8#10	SLV3735	-	10B
6714_8#11	DLV6149	-	16F
6714_8#12	4413	-	23F
6714_8#13	5099	-	4
6714_8#14	172	-	23F
6714_8#15	63	-	14
6714_8#16	172	-	23F
6714_8#17	4133	-	NT
6714_8#18	315	-	6B
6714_8#19	4398	-	NT
6714_8#20	4408	-	6A
6714_8#21	4389	-	3
6714_8#22	4413	-	23F
6714_8#23	4394	-	NT
